iteration,prompt_id,weighted_score,pass_rate,passed_tasks,HE_10,HE_32,HE_41,HE_65,HE_75,HE_77,HE_83,HE_84,HE_93,HE_94,auto_0,auto_1,auto_2,auto_3,auto_4,auto_5,auto_6,auto_7,auto_8,auto_9
1,0,196,0.7,14,14,14,14,0,0,14,14,14,0,14,14,14,14,0,14,0,14,0,14,14
2,0,213.525,0.7,14,13,29.25,13,0,0,13,23.4,14.625,0,14.625,14.625,13,13,0,13,0,13,0,13,13
2,1,169.65,0.6,12,13,0,13,0,0,13,23.4,0,0,14.625,14.625,13,13,0,13,0,13,0,13,13
2,2,190.125,0.65,13,13,29.25,13,0,0,13,0,14.625,0,14.625,14.625,13,13,0,13,0,13,0,13,13
2,3,223.275,0.7,14,13,0,13,0,0,13,23.4,14.625,39,14.625,14.625,13,13,0,13,0,13,0,13,13
2,4,146.25,0.55,11,13,0,13,0,0,13,0,14.625,0,14.625,0,13,13,0,13,0,13,0,13,13
2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,199.875,0.65,13,13,0,13,0,0,13,0,14.625,39,14.625,14.625,13,13,0,13,0,13,0,13,13
2,7,190.125,0.65,13,13,29.25,13,0,0,13,0,14.625,0,14.625,14.625,13,13,0,13,0,13,0,13,13
2,8,198.9,0.65,13,13,29.25,13,0,0,13,23.4,14.625,0,0,14.625,13,13,0,13,0,13,0,13,13
2,9,223.275,0.7,14,13,0,13,0,0,13,23.4,14.625,39,14.625,14.625,13,13,0,13,0,13,0,13,13
3,0,140.8777778,0.55,11,13.77777778,0,12.4,0,0,12.4,0,0,0,12.4,15.5,12.4,12.4,0,12.4,0,12.4,0,12.4,12.4
3,1,228.7111111,0.65,13,13.77777778,0,12.4,0,0,12.4,20.66666667,20.66666667,62,12.4,0,12.4,12.4,0,12.4,0,12.4,0,12.4,12.4
3,2,223.5444444,0.7,14,13.77777778,41.33333333,12.4,0,0,12.4,20.66666667,20.66666667,0,12.4,15.5,12.4,12.4,0,12.4,0,12.4,0,12.4,12.4
3,3,146.0444444,0.55,11,13.77777778,0,12.4,0,0,12.4,0,20.66666667,0,12.4,0,12.4,12.4,0,12.4,0,12.4,0,12.4,12.4
3,4,285.5444444,0.75,15,13.77777778,41.33333333,12.4,0,0,12.4,20.66666667,20.66666667,62,12.4,15.5,12.4,12.4,0,12.4,0,12.4,0,12.4,12.4
3,5,182.2111111,0.6,12,13.77777778,41.33333333,12.4,0,0,12.4,0,0,0,12.4,15.5,12.4,12.4,0,12.4,0,12.4,0,12.4,12.4
3,6,140.8777778,0.55,11,13.77777778,0,12.4,0,0,12.4,0,0,0,12.4,15.5,12.4,12.4,0,12.4,0,12.4,0,12.4,12.4
3,7,182.2111111,0.65,13,13.77777778,0,12.4,0,0,12.4,20.66666667,20.66666667,0,12.4,15.5,12.4,12.4,0,12.4,0,12.4,0,12.4,12.4
3,8,161.5444444,0.6,12,13.77777778,0,12.4,0,0,12.4,20.66666667,0,0,12.4,15.5,12.4,12.4,0,12.4,0,12.4,0,12.4,12.4
3,9,168.4333333,0.6,12,0,0,12.4,0,0,12.4,20.66666667,20.66666667,0,12.4,15.5,12.4,12.4,0,12.4,0,12.4,0,12.4,12.4
4,0,186.4880952,0.65,13,13,21.66666667,13,0,0,13,0,18.57142857,0,13,16.25,13,13,0,13,0,13,0,13,13
4,1,208.1547619,0.7,14,13,21.66666667,13,0,0,13,21.66666667,18.57142857,0,13,16.25,13,13,0,13,0,13,0,13,13
4,2,208.1547619,0.7,14,13,21.66666667,13,0,0,13,21.66666667,18.57142857,0,13,16.25,13,13,0,13,0,13,0,13,13
4,3,167.9166667,0.6,12,13,21.66666667,13,0,0,13,0,0,0,13,16.25,13,13,0,13,0,13,0,13,13
4,4,229.8214286,0.7,14,13,0,13,0,0,13,21.66666667,18.57142857,43.33333333,13,16.25,13,13,0,13,0,13,0,13,13
4,5,170.2380952,0.6,12,13,0,13,0,0,13,21.66666667,18.57142857,0,13,0,13,13,0,13,0,13,0,13,13
4,6,146.25,0.55,11,13,0,13,0,0,13,0,0,0,13,16.25,13,13,0,13,0,13,0,13,13
4,7,167.9166667,0.6,12,13,21.66666667,13,0,0,13,0,0,0,13,16.25,13,13,0,13,0,13,0,13,13
4,8,213.5714286,0.65,13,13,0,13,0,0,13,21.66666667,18.57142857,43.33333333,13,0,13,13,0,13,0,13,0,13,13
4,9,251.4880952,0.75,15,13,21.66666667,13,0,0,13,21.66666667,18.57142857,43.33333333,13,16.25,13,13,0,13,0,13,0,13,13
5,0,203.8174603,0.7,14,13.55555556,20.33333333,13.55555556,0,0,15.25,17.42857143,15.25,0,13.55555556,13.55555556,13.55555556,13.55555556,0,13.55555556,0,13.55555556,0,13.55555556,13.55555556
5,1,229.234127,0.7,14,13.55555556,20.33333333,13.55555556,0,0,0,17.42857143,15.25,40.66666667,13.55555556,13.55555556,13.55555556,13.55555556,0,13.55555556,0,13.55555556,0,13.55555556,13.55555556
5,2,244.484127,0.75,15,13.55555556,20.33333333,13.55555556,0,0,15.25,17.42857143,15.25,40.66666667,13.55555556,13.55555556,13.55555556,13.55555556,0,13.55555556,0,13.55555556,0,13.55555556,13.55555556
5,3,186.3888889,0.65,13,13.55555556,20.33333333,13.55555556,0,0,15.25,0,15.25,0,13.55555556,13.55555556,13.55555556,13.55555556,0,13.55555556,0,13.55555556,0,13.55555556,13.55555556
5,4,188.5674603,0.65,13,13.55555556,20.33333333,13.55555556,0,0,15.25,17.42857143,0,0,13.55555556,13.55555556,13.55555556,13.55555556,0,13.55555556,0,13.55555556,0,13.55555556,13.55555556
5,5,183.484127,0.65,13,13.55555556,0,13.55555556,0,0,15.25,17.42857143,15.25,0,13.55555556,13.55555556,13.55555556,13.55555556,0,13.55555556,0,13.55555556,0,13.55555556,13.55555556
5,6,183.484127,0.65,13,13.55555556,0,13.55555556,0,0,15.25,17.42857143,15.25,0,13.55555556,13.55555556,13.55555556,13.55555556,0,13.55555556,0,13.55555556,0,13.55555556,13.55555556
5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,186.3888889,0.65,13,13.55555556,20.33333333,13.55555556,0,0,15.25,0,15.25,0,13.55555556,13.55555556,13.55555556,13.55555556,0,13.55555556,0,13.55555556,0,13.55555556,13.55555556
5,9,224.1507937,0.7,14,13.55555556,0,13.55555556,0,0,15.25,17.42857143,15.25,40.66666667,13.55555556,13.55555556,13.55555556,13.55555556,0,13.55555556,0,13.55555556,0,13.55555556,13.55555556
